Date,Close/Last,Open,High,Low
05/18/2022,11418.15,11790.68,11826.22,11381.69
05/17/2022,11984.52,11887.98,11988.43,11754.28
05/16/2022,11662.79,11727.14,11804.59,11627.53
05/13/2022,11805.00,11555.97,11856.71,11510.26
05/12/2022,11370.96,11199.25,11547.33,11108.76
05/11/2022,11364.24,11645.57,11844.51,11339.18
05/10/2022,11737.67,11900.34,11944.94,11566.28
05/09/2022,11623.25,11923.03,11990.61,11574.94
05/06/2022,12144.66,12246.83,12358.42,11990.15
05/05/2022,12317.69,12787.52,12787.52,12183.56
05/04/2022,12964.86,12574.73,12985.01,12367.02
05/03/2022,12563.76,12511.46,12645.83,12460.99
05/02/2022,12536.02,12331.69,12542.54,12202.41
04/29/2022,12334.64,12710.42,12861.83,12315.74
04/28/2022,12871.53,12712.86,12948.52,12487.86
04/27/2022,12488.93,12500.88,12703.79,12430.90
04/26/2022,12490.74,12918.04,12918.04,12490.74
04/25/2022,13004.85,12749.17,13011.45,12722.59
04/22/2022,12839.29,13168.80,13212.60,12828.02
04/21/2022,13174.65,13623.70,13710.69,13140.83
04/20/2022,13453.07,13665.38,13678.55,13426.12
04/19/2022,13619.66,13312.44,13643.97,13281.22
04/18/2022,13332.36,13319.39,13414.27,13222.03
04/14/2022,13351.08,13647.43,13662.93,13345.22
04/13/2022,13643.59,13373.12,13679.43,13353.66
04/12/2022,13371.57,13584.69,13685.95,13317.74
04/11/2022,13411.96,13547.29,13585.08,13401.39
04/08/2022,13711.00,13830.47,13866.06,13693.69
04/07/2022,13897.30,13861.49,13978.25,13689.23
04/06/2022,13888.82,14002.58,14032.84,13788.90
04/05/2022,14204.17,14262.28,14500.29,14169.12
04/04/2022,14532.55,14304.35,14534.38,14286.45
04/01/2022,14261.50,14269.53,14306.94,14131.81
03/31/2022,14220.52,14444.78,14456.74,14217.72
03/30/2022,14442.27,14558.59,14609.25,14383.45
03/29/2022,14619.64,14500.39,14646.90,14419.40
03/28/2022,14354.90,14177.21,14356.00,14101.34
03/25/2022,14169.30,14194.72,14218.76,14010.79
03/24/2022,14191.84,14001.32,14193.55,13897.20
03/23/2022,13922.60,13990.35,14152.14,13921.65
03/22/2022,14108.82,13866.43,14141.07,13857.29
03/21/2022,13838.46,13860.39,13945.80,13682.55
03/18/2022,13893.84,13564.63,13899.28,13528.06
03/17/2022,13614.78,13360.72,13620.80,13317.14
03/16/2022,13436.55,13119.36,13440.12,12992.20
03/15/2022,12948.62,12685.23,12973.88,12616.59
03/14/2022,12581.22,12795.12,12918.01,12555.35
03/11/2022,12843.81,13229.77,13239.35,12830.37
03/10/2022,13129.96,13098.35,13163.50,12946.28
03/09/2022,13255.55,13113.70,13301.16,13039.79
03/08/2022,12795.55,12800.04,13159.44,12670.08
03/07/2022,12830.96,13328.36,13353.28,12828.02
03/04/2022,13313.44,13455.23,13486.71,13224.98
03/03/2022,13537.94,13837.59,13837.59,13472.64
03/02/2022,13752.02,13597.53,13796.55,13493.90
03/01/2022,13532.46,13716.70,13777.04,13441.32
02/28/2022,13751.40,13570.83,13810.64,13549.90
02/25/2022,13694.62,13485.26,13696.86,13358.29
02/24/2022,13473.58,12587.88,13486.11,12587.88
02/23/2022,13037.49,13511.75,13533.78,13032.17
02/22/2022,13381.52,13424.36,13618.72,13249.65
02/18/2022,13548.07,13735.40,13762.40,13465.56
02/17/2022,13716.72,14004.19,14020.82,13704.70
02/16/2022,14124.09,14038.92,14163.73,13931.99
02/15/2022,14139.76,13997.18,14142.49,13976.29
02/14/2022,13790.92,13768.97,13921.71,13664.76
02/11/2022,13791.15,14213.62,14246.70,13733.16
02/10/2022,14185.64,14228.68,14509.56,14118.20
02/09/2022,14490.37,14368.16,14490.72,14330.87
02/08/2022,14194.45,13984.43,14226.48,13934.78
02/07/2022,14015.67,14118.79,14236.31,13974.10
02/04/2022,14098.01,13958.48,14222.76,13850.39
02/03/2022,13878.82,14045.83,14207.88,13851.74
02/02/2022,14417.55,14494.47,14504.82,14264.65
02/01/2022,14346.00,14277.43,14358.69,14070.77
01/31/2022,14239.88,13812.19,14242.90,13767.71
01/28/2022,13770.57,13436.71,13771.91,13236.56
01/27/2022,13352.78,13710.99,13765.91,13322.66
01/26/2022,13542.12,13871.77,14002.65,13392.19
01/25/2022,13539.29,13610.87,13781.62,13414.14
01/24/2022,13855.13,13481.50,13876.61,13094.65
01/21/2022,13768.92,14046.22,14171.72,13764.24
01/20/2022,14154.02,14462.85,14642.03,14140.78
01/19/2022,14340.26,14582.22,14658.89,14331.65
01/18/2022,14506.90,14681.83,14740.54,14482.94
01/14/2022,14893.75,14708.02,14897.68,14689.43
01/13/2022,14806.81,15245.04,15259.71,14782.24
01/12/2022,15188.39,15263.10,15319.03,15117.29
01/11/2022,15153.45,14919.26,15158.71,14837.63
01/10/2022,14942.83,14751.78,14953.85,14530.23
01/07/2022,14935.90,15095.72,15171.02,14877.63
01/06/2022,15080.86,15024.15,15198.45,14914.87
01/05/2022,15100.17,15547.16,15586.30,15095.18
01/04/2022,15622.72,15852.14,15852.14,15512.41
01/03/2022,15832.80,15732.50,15832.80,15644.09
12/31/2021,15644.97,15722.91,15777.43,15643.93
12/30/2021,15741.56,15758.98,15868.09,15729.16
12/29/2021,15766.22,15794.92,15821.81,15679.85
12/28/2021,15781.72,15895.20,15901.47,15757.07
12/27/2021,15871.26,15696.83,15871.40,15696.83
12/23/2021,15653.37,15544.79,15697.98,15528.91
12/22/2021,15521.89,15319.16,15525.97,15303.06
12/21/2021,15341.09,15140.43,15349.06,15015.03
12/20/2021,14980.94,14933.00,15007.30,14860.04
12/17/2021,15169.68,15036.77,15288.78,14960.37
12/16/2021,15180.43,15629.08,15633.19,15119.49
12/15/2021,15565.58,15230.71,15575.76,15055.23
12/14/2021,15237.64,15215.96,15317.55,15097.35
12/13/2021,15413.28,15621.27,15637.06,15408.25
12/10/2021,15630.60,15629.59,15677.60,15477.85
12/09/2021,15517.37,15720.54,15796.05,15511.12
12/08/2021,15786.99,15690.65,15792.64,15618.88
12/07/2021,15686.92,15510.91,15720.09,15507.66
12/06/2021,15225.15,15117.63,15281.99,14931.61
12/03/2021,15085.47,15428.71,15470.36,14931.06
12/02/2021,15381.32,15181.82,15444.54,15150.12
12/01/2021,15254.05,15752.27,15816.82,15243.93
11/30/2021,15537.69,15716.50,15828.20,15451.39
11/29/2021,15782.83,15719.42,15833.11,15644.61
11/26/2021,15491.66,15664.38,15731.54,15456.09
11/24/2021,15845.23,15677.88,15848.56,15591.36
11/23/2021,15775.14,15809.50,15895.86,15601.46
11/22/2021,15854.76,16120.92,16212.23,15851.04
11/19/2021,16057.44,16042.16,16121.12,16017.23
11/18/2021,15993.71,15973.39,16010.88,15848.83
11/17/2021,15921.57,15973.62,15998.57,15909.39
11/16/2021,15973.86,15840.32,15989.61,15825.00
11/15/2021,15853.85,15894.82,15918.45,15778.31
11/12/2021,15860.96,15752.62,15874.57,15705.38
11/11/2021,15704.28,15752.08,15768.03,15695.77
11/10/2021,15622.71,15753.84,15867.24,15543.68
11/09/2021,15886.54,16024.13,16035.21,15836.68
11/08/2021,15982.36,15995.72,16038.23,15961.81
11/05/2021,15971.59,16003.56,16053.39,15900.78
11/04/2021,15940.31,15849.74,15966.09,15827.66
11/03/2021,15811.58,15658.52,15821.57,15616.44
11/02/2021,15649.60,15583.98,15656.60,15569.27
11/01/2021,15595.92,15541.26,15598.95,15470.82
10/29/2021,15498.39,15323.29,15504.12,15323.29
10/28/2021,15448.12,15304.74,15452.30,15290.31
10/27/2021,15235.84,15276.00,15364.54,15235.84
10/26/2021,15235.71,15317.50,15384.00,15198.23
10/25/2021,15226.71,15165.52,15259.63,15070.75
10/22/2021,15090.20,15158.06,15193.01,15021.02
10/21/2021,15215.70,15104.80,15222.25,15094.14
10/20/2021,15121.68,15160.00,15178.39,15071.15
10/19/2021,15129.09,15073.13,15137.85,15049.73
10/18/2021,15021.81,14839.74,15026.68,14833.28
10/15/2021,14897.34,14891.24,14904.98,14847.96
10/14/2021,14823.43,14717.50,14827.56,14699.52
10/13/2021,14571.64,14537.17,14589.28,14471.87
10/12/2021,14465.92,14539.09,14552.71,14441.60
10/11/2021,14486.20,14540.08,14665.99,14482.61
10/08/2021,14579.54,14694.72,14699.91,14569.68
10/07/2021,14654.02,14631.80,14755.72,14615.14
10/06/2021,14501.91,14289.45,14509.55,14259.07
10/05/2021,14433.83,14312.86,14508.65,14299.78
10/04/2021,14255.48,14493.12,14499.74,14181.69
10/01/2021,14566.70,14494.93,14606.82,14324.01
09/30/2021,14448.58,14582.60,14632.36,14444.30
09/29/2021,14512.44,14614.88,14676.62,14493.67
09/28/2021,14546.68,14787.21,14817.74,14539.88
09/27/2021,14969.97,14954.18,15003.16,14864.96
09/24/2021,15047.70,14961.61,15067.56,14946.57
09/23/2021,15052.24,14960.00,15085.44,14932.51
09/22/2021,14896.85,14800.59,14950.12,14767.01
09/21/2021,14746.40,14803.36,14847.03,14696.47
09/20/2021,14713.90,14758.14,14841.82,14530.07
09/17/2021,15043.97,15163.35,15166.56,14998.73
09/16/2021,15181.92,15120.09,15205.50,15047.14
09/15/2021,15161.53,15071.34,15174.38,14984.68
09/14/2021,15037.76,15168.45,15181.19,15008.30
09/13/2021,15105.58,15211.43,15215.44,15030.85
09/10/2021,15115.49,15332.92,15349.47,15111.31
09/09/2021,15248.25,15296.06,15352.38,15245.17
09/08/2021,15286.64,15360.35,15360.35,15206.61
09/07/2021,15374.33,15375.98,15403.44,15343.28
09/03/2021,15363.52,15313.41,15375.56,15283.67
09/02/2021,15331.18,15358.47,15380.07,15285.35
09/01/2021,15309.38,15308.98,15379.50,15302.11
08/31/2021,15259.24,15262.88,15278.96,15202.67
08/30/2021,15265.89,15165.94,15288.08,15165.12
08/27/2021,15129.50,14969.77,15144.48,14966.52
08/26/2021,14945.81,15025.17,15059.63,14939.56
08/25/2021,15041.86,15039.03,15059.43,15011.58
08/24/2021,15019.80,14978.14,15034.89,14965.54
08/23/2021,14942.65,14776.98,14963.47,14776.98
08/20/2021,14714.66,14571.53,14722.16,14571.53
08/19/2021,14541.79,14423.16,14610.76,14423.16
08/18/2021,14525.91,14636.24,14697.25,14516.30
08/17/2021,14656.18,14670.56,14716.95,14550.88
08/16/2021,14793.76,14771.53,14794.68,14610.02
08/13/2021,14822.90,14825.07,14850.61,14797.22
08/12/2021,14816.26,14751.36,14824.31,14698.94
08/11/2021,14765.14,14834.38,14842.50,14692.41
08/10/2021,14788.09,14887.74,14894.61,14754.48
08/09/2021,14860.18,14855.76,14883.81,14802.69
08/06/2021,14835.76,14864.22,14890.18,14788.59
08/05/2021,14895.12,14794.08,14896.47,14776.03
08/04/2021,14780.53,14747.21,14812.37,14734.12
08/03/2021,14761.29,14713.99,14762.60,14584.09
08/02/2021,14681.07,14672.68,14770.41,14665.67
07/30/2021,14672.68,14615.85,14728.78,14615.85
07/29/2021,14778.26,14771.17,14833.74,14761.38
07/28/2021,14762.58,14783.54,14798.88,14645.63
07/27/2021,14660.58,14807.95,14811.08,14503.76
07/26/2021,14840.71,14821.03,14863.65,14790.49
07/23/2021,14836.99,14753.06,14846.06,14698.77
07/22/2021,14684.60,14652.72,14694.19,14617.87
07/21/2021,14631.95,14508.75,14633.14,14498.65
07/20/2021,14498.88,14330.46,14555.75,14271.23
07/19/2021,14274.98,14235.98,14313.60,14178.66
07/16/2021,14427.24,14597.51,14623.02,14413.32
07/15/2021,14543.13,14635.78,14650.37,14451.80
07/14/2021,14644.95,14780.90,14790.55,14632.95
07/13/2021,14677.65,14715.13,14803.68,14660.19
07/12/2021,14733.24,14743.86,14761.08,14672.63
07/09/2021,14701.92,14661.42,14710.20,14552.26
07/08/2021,14559.78,14409.20,14610.06,14371.59
07/07/2021,14665.06,14753.41,14755.33,14580.79
07/06/2021,14663.64,14661.55,14687.00,14529.80
07/02/2021,14639.33,14582.98,14649.11,14555.34
07/01/2021,14522.38,14493.69,14533.55,14439.40
06/30/2021,14503.95,14509.85,14526.81,14478.06
06/29/2021,14528.33,14509.19,14535.97,14471.38
06/28/2021,14500.51,14417.81,14505.19,14417.20
06/25/2021,14360.39,14400.81,14409.08,14337.65
06/24/2021,14369.71,14357.27,14414.46,14333.70
06/23/2021,14271.73,14263.38,14317.66,14246.30
06/22/2021,14253.27,14138.29,14269.77,14121.00
06/21/2021,14141.48,14047.42,14150.78,13960.04
06/18/2021,14030.38,14096.93,14129.22,14009.04
06/17/2021,14161.35,13999.13,14196.21,13998.93
06/16/2021,14039.68,14085.55,14129.69,13903.73
06/15/2021,14072.86,14166.64,14171.02,14052.16
06/14/2021,14174.14,14083.47,14175.45,14056.67
06/11/2021,14069.42,14030.85,14069.42,14006.59
06/10/2021,14020.33,13933.88,14031.19,13904.40
06/09/2021,13911.75,13980.23,14003.50,13906.45
06/08/2021,13924.91,13946.32,13981.72,13831.98
06/07/2021,13881.72,13802.82,13889.11,13784.89
06/04/2021,13814.49,13697.25,13826.82,13692.01
06/03/2021,13614.51,13655.75,13684.13,13548.93
06/02/2021,13756.33,13743.24,13775.89,13689.74
06/01/2021,13736.48,13829.06,13836.17,13678.77
05/28/2021,13748.74,13792.05,13820.87,13747.61
05/27/2021,13736.28,13742.58,13776.52,13701.63
05/26/2021,13738.00,13693.94,13750.16,13679.59
05/25/2021,13657.17,13721.54,13751.14,13631.80
05/24/2021,13661.17,13661.17,13708.85,13551.01
05/21/2021,13470.99,13616.19,13616.58,13463.26
05/20/2021,13535.74,13356.63,13563.52,13355.71
05/19/2021,13299.74,13078.19,13304.61,13072.23
05/18/2021,13303.64,13416.90,13485.34,13299.93
05/17/2021,13379.05,13368.80,13399.17,13265.40
05/14/2021,13379.05,13255.65,13460.88,13242.97
05/13/2021,13124.99,13150.94,13247.87,13007.24
05/12/2021,13031.68,13215.49,13288.61,13002.54
05/11/2021,13389.43,13363.99,13423.31,13107.67
05/10/2021,13401.86,13687.59,13687.93,13401.74
05/07/2021,13752.24,13723.09,13828.62,13690.75
05/06/2021,13632.84,13557.83,13635.73,13439.39
05/05/2021,13582.42,13731.13,13753.05,13553.93
05/04/2021,13633.50,13774.51,13795.57,13485.59
05/03/2021,13895.12,14031.77,14042.12,13881.51
04/30/2021,13962.68,13970.73,14084.76,13941.63
04/29/2021,14082.55,14204.51,14211.57,13952.80
04/28/2021,14051.03,14082.78,14133.65,14034.70
04/27/2021,14090.22,14170.91,14171.24,14064.28
04/26/2021,14138.78,14052.38,14154.03,14019.50
04/23/2021,14016.81,13861.37,14062.74,13856.83
04/22/2021,13818.41,13952.57,14015.87,13771.04
04/21/2021,13950.22,13745.77,13951.35,13706.86
04/20/2021,13786.27,13894.46,13927.67,13698.67
04/19/2021,13914.77,13984.58,14041.79,13842.57
