Date,Close/Last,Volume,Open,High,Low
06/02/2021,$118.5295,21162920,$119.4575,$119.682,$117.6178
06/01/2021,$119.059,23358020,$118.722,$119.2855,$117.714
05/28/2021,$117.8425,21490800,$118.721,$118.8035,$117.6425
05/27/2021,$118.134,35224020,$119.4525,$119.4525,$117.813
05/26/2021,$119.0155,21571960,$118.326,$119.4495,$118.3231
05/25/2021,$118.1435,22439640,$118.60,$119.20,$117.75
05/24/2021,$118.052,31832200,$115.7445,$118.2775,$115.5978
05/21/2021,$114.7065,40631800,$115.8705,$115.9445,$114.465
05/20/2021,$115.3475,32351000,$114.55,$115.60,$114.176
05/19/2021,$113.575,23684100,$111.4215,$113.7495,$111.272
05/18/2021,$113.1235,22203700,$115.1175,$115.3841,$113.1095
05/17/2021,$114.446,21578600,$113.1785,$114.489,$112.7755
05/14/2021,$113.919,31996580,$112.927,$114.236,$112.50
05/13/2021,$111.452,33220400,$111.306,$111.9719,$110.336
05/12/2021,$110.0125,46375480,$111.3095,$112.399,$109.681
05/11/2021,$113.503,34185840,$112.1535,$114.014,$111.696
05/10/2021,$114.5875,30914580,$116.407,$116.55,$114.227
05/07/2021,$117.5965,28897240,$118.1945,$118.5625,$117.3078
05/06/2021,$116.8675,25190460,$115.3165,$116.8675,$114.6521
05/05/2021,$115.7385,26636180,$116.4315,$116.75,$115.414
05/04/2021,$115.3415,44818640,$115.6775,$116.2495,$112.834
05/03/2021,$117.154,28242780,$118.2455,$119.0775,$116.775
04/30/2021,$117.675,44856760,$118.401,$119.0925,$117.328
04/29/2021,$119.638,41233080,$119.4615,$120.208,$118.6925
04/28/2021,$117.952,81106800,$119.6248,$121.569,$117.661
04/27/2021,$114.549,44385600,$115.8816,$115.9225,$114.308
04/26/2021,$115.4965,32037840,$115.226,$116.2265,$114.8658
04/23/2021,$114.9965,29111080,$113.35,$115.3059,$113.0625
04/22/2021,$112.626,24145520,$113.77,$114.4441,$112.016
04/21/2021,$113.9175,23204180,$113.6025,$114.00,$112.241
04/20/2021,$113.9505,22288320,$114.8745,$114.95,$112.856
04/19/2021,$114.488,30289400,$113.509,$115.2045,$113.509
04/16/2021,$114.1375,26282780,$114.462,$114.712,$113.546
04/15/2021,$114.2625,29174980,$113.0975,$114.80,$112.5585
04/14/2021,$112.0955,21002860,$113.3715,$113.3715,$111.8007
04/13/2021,$112.7215,25681560,$112.5495,$113.1735,$112.1525
04/12/2021,$112.231,25023660,$112.706,$112.8443,$111.391
04/09/2021,$113.5335,26145300,$112.272,$113.6985,$111.8628
04/08/2021,$112.5215,28664280,$113.20,$113.5895,$112.1505
04/07/2021,$111.9515,24133920,$110.655,$112.225,$110.655
04/06/2021,$110.463,35240780,$110.546,$111.40,$110.0895
04/05/2021,$110.948,48509600,$107.3575,$111.4495,$107.2603
04/01/2021,$106.489,39880100,$104.6125,$106.7875,$104.5715
03/31/2021,$103.126,42569640,$102.72,$104.313,$102.35
03/30/2021,$102.3235,27317120,$102.649,$103.1335,$101.8075
03/29/2021,$102.2895,26492620,$101.108,$102.4605,$100.2725
03/26/2021,$101.2365,27977500,$101.5895,$101.9693,$100.1925
03/25/2021,$101.623,35615740,$101.4525,$102.282,$99.8045
03/24/2021,$101.6265,25217060,$102.588,$103.38,$101.45
03/23/2021,$102.0665,28509120,$101.9975,$103.2055,$101.40
03/22/2021,$101.5345,33535420,$101.3815,$102.417,$100.70
03/19/2021,$101.348,46071920,$101.4865,$101.852,$100.1465
03/18/2021,$101.067,31712960,$102.409,$103.4373,$100.959
03/17/2021,$104.111,26382520,$103.4235,$104.95,$102.2061
03/16/2021,$104.1945,31900300,$103.2995,$105.684,$102.9645
03/15/2021,$102.722,26214820,$102.2488,$102.7495,$101.3895
03/12/2021,$102.50,33817980,$103.8205,$103.8805,$101.621
03/11/2021,$105.027,27702600,$102.911,$105.5635,$102.8225
03/10/2021,$101.8095,27100080,$103.07,$103.07,$100.9665
03/09/2021,$102.018,33920620,$102.4875,$103.1958,$101.78
03/08/2021,$100.375,36867420,$104.203,$105.687,$100.2595
03/05/2021,$104.8535,53099540,$103.0575,$105.31,$101.3889
03/04/2021,$101.6965,49215720,$100.7435,$103.7295,$100.2715
03/03/2021,$100.5705,33892900,$102.5975,$103.7995,$99.70
03/02/2021,$103.224,25563680,$103.242,$104.737,$102.8335
03/01/2021,$103.483,26061780,$102.40,$103.8115,$101.721
02/26/2021,$101.0955,40041280,$101.4975,$102.826,$100.0505
02/25/2021,$100.7975,41548180,$102.7965,$104.15,$100.3245
02/24/2021,$104.1905,22608740,$101.502,$104.416,$101.3765
02/23/2021,$103.006,34657980,$100.6995,$103.625,$99.5115
02/22/2021,$102.713,29466340,$102.68,$104.0165,$102.40
02/19/2021,$104.4405,37938780,$105.3895,$105.929,$104.1715
02/18/2021,$105.2905,22570980,$105.25,$106.0995,$104.6665
02/17/2021,$105.931,20303540,$104.699,$106.1222,$104.4175
02/16/2021,$105.535,31003900,$104.5875,$107.257,$104.5875
02/12/2021,$104.7515,18990500,$103.9885,$104.975,$103.6785
02/11/2021,$104.4375,20480580,$104.55,$104.70,$103.443
02/10/2021,$104.324,25101600,$104.157,$104.944,$102.612
02/09/2021,$103.7695,21891660,$103.74,$104.9255,$103.50
02/08/2021,$104.226,28828860,$105.00,$105.75,$103.1675
02/05/2021,$104.4415,29865120,$102.978,$104.797,$102.50
02/04/2021,$102.6815,48595600,$103.0308,$103.465,$101.755
02/03/2021,$102.944,97881640,$103.2805,$105.3312,$100.6775
02/02/2021,$95.956,66332400,$95.6565,$97.4685,$95.3185
02/01/2021,$94.6535,40252060,$92.2293,$95.777,$92.2293
01/29/2021,$91.368,44530180,$91.701,$92.3768,$90.078
01/28/2021,$92.66,55278100,$91.55,$94.3995,$91.55
01/27/2021,$90.947,82512620,$93.7455,$94.0235,$89.864
01/26/2021,$95.3975,31461560,$94.2995,$95.7875,$93.8065
01/25/2021,$94.714,50586920,$95.637,$96.091,$92.958
01/22/2021,$94.628,32743900,$94.573,$95.2195,$93.8247
